,champion,op_score
0,야스오,54.01
1,빅토르,53.91
2,신지드,53.67
3,요네,53.15
4,벡스,52.60
5,럭스,52.46
6,제라스,52.14
7,이렐리아,52.12
8,르블랑,51.90
9,애니비아,51.83
10,애니,51.83
11,리산드라,51.71
12,아크샨,51.70
13,카사딘,51.61
14,블라디미르,51.55
15,사일러스,51.38
16,제드,51.36
17,말자하,51.10
18,다이애나,51.10
19,아리,51.09
20,아칼리,50.89
21,그레이브즈,50.81
22,세트,50.71
23,피즈,50.68
24,카타리나,50.09
25,트위스티드 페이트,49.97
26,누누와 윌럼프,49.92
27,베이가,49.84
28,에코,49.73
29,판테온,49.63
30,말파이트,49.59
31,카시오페아,49.57
32,레넥톤,49.49
33,코르키,49.04
34,파이크,49.01
35,가렌,48.91
36,니코,48.86
37,브랜드,48.69
38,비에고,48.49
39,모르가나,48.33
40,갈리오,48.17
41,베인,48.08
42,신드라,47.88
43,탈론,47.83
44,트린다미어,47.17
45,제이스,46.46
46,오리아나,46.03
47,조이,44.89
48,아지르,44.26
49,라이즈,42.75
50,마스터 이,41.78
51,키아나,41.61
52,루시안,41.14
53,이즈리얼,37.06
