,champion,op_score
0,블리츠크랭크,55.39
1,럭스,55.38
2,제라스,55.00
3,레오나,53.78
4,샤코,53.46
5,자이라,52.56
6,아무무,52.45
7,모르가나,52.30
8,마오카이,52.22
9,브랜드,52.16
10,노틸러스,51.82
11,소라카,51.75
12,룰루,51.73
13,나미,51.45
14,질리언,51.42
15,알리스타,51.33
16,스웨인,51.14
17,소나,50.95
18,렐,50.88
19,벨코즈,50.49
20,브라움,50.20
21,자크,49.77
22,쉔,49.45
23,르블랑,49.41
24,라칸,49.31
25,쓰레쉬,49.27
26,유미,49.18
27,직스,48.71
28,티모,48.39
29,잔나,48.32
30,세나,48.03
31,카르마,47.92
32,파이크,47.86
33,뽀삐,47.51
34,타릭,46.90
35,베이가,46.37
36,애니비아,46.06
37,니코,46.00
38,바드,45.88
39,판테온,45.54
40,말파이트,45.43
41,벡스,45.17
42,세라핀,44.47
43,갈리오,44.07
44,애쉬,41.60
45,미스 포츈,40.86
46,세트,40.68
