,champion,op_score
0,마스터 이,54.87
1,그레이브즈,54.74
2,워윅,54.28
3,비에고,52.97
4,샤코,52.77
5,뽀삐,52.65
6,자크,52.53
7,바이,52.50
8,신 짜오,52.12
9,엘리스,51.73
10,리 신,51.25
11,쉬바나,51.20
12,람머스,51.13
13,누누와 윌럼프,50.97
14,카직스,50.95
15,세주아니,50.90
16,녹턴,50.88
17,트런들,50.80
18,에코,50.79
19,아무무,50.79
20,케인,50.64
21,헤카림,50.49
22,킨드레드,50.38
23,피들스틱,50.06
24,볼리베어,49.78
25,잭스,49.75
26,릴리아,49.54
27,탈론,49.40
28,렉사이,49.30
29,카서스,49.09
30,우디르,49.09
31,자르반 4세,48.98
32,그라가스,48.57
33,니달리,48.17
34,이블린,47.91
35,다리우스,47.53
36,탈리야,47.47
37,오공,47.43
38,다이애나,47.36
39,티모,47.14
40,제드,44.79
41,트위치,42.02
42,가렌,41.65
43,올라프,41.27
44,렝가,40.36
45,키아나,36.46
