,champion,op_score
0,티모,55.08
1,베인,53.59
2,오른,53.02
3,카밀,52.97
4,탐 켄치,52.78
5,나서스,52.77
6,빅토르,52.77
7,쉔,52.61
8,말파이트,52.56
9,가렌,52.42
10,요릭,52.40
11,사이온,52.12
12,문도 박사,52.04
13,이렐리아,51.99
14,세트,51.88
15,잭스,51.66
16,트린다미어,51.62
17,그레이브즈,51.47
18,제이스,51.32
19,아칼리,51.30
20,피오라,51.18
21,뽀삐,51.10
22,클레드,51.04
23,자크,50.77
24,오공,50.75
25,워윅,50.68
26,다리우스,50.61
27,블라디미르,50.19
28,케일,50.08
29,트런들,50.05
30,퀸,50.00
31,릴리아,50.00
32,마오카이,49.83
33,일라오이,49.56
34,우르곳,49.49
35,초가스,49.39
36,나르,49.26
37,요네,48.93
38,하이머딩거,48.59
39,신지드,48.21
40,사일러스,48.04
41,케넨,48.03
42,모데카이저,47.98
43,볼리베어,47.95
44,레넥톤,47.49
45,그라가스,47.36
46,리븐,47.33
47,야스오,47.04
48,아트록스,46.97
49,카르마,46.21
50,갱플랭크,45.57
51,럼블,45.56
52,렝가,44.82
53,루시안,43.66
54,라이즈,43.65
55,그웬,43.10
56,마스터 이,41.29
57,칼리스타,40.71
58,바이,40.57
59,케이틀린,39.25
