,champion,op_score
0,블리츠크랭크,57.40
1,레오나,56.39
2,룰루,56.11
3,쓰레쉬,54.64
4,제라스,53.94
5,럭스,53.28
6,모르가나,52.56
7,샤코,52.37
8,나미,52.26
9,마오카이,52.13
10,라칸,52.00
11,아무무,51.79
12,렐,51.40
13,노틸러스,51.28
14,소라카,51.26
15,카르마,50.93
16,알리스타,50.88
17,유미,50.65
18,질리언,50.53
19,자이라,50.51
20,탈리야,50.32
21,소나,50.11
22,브라움,50.00
23,파이크,49.89
24,벨코즈,49.65
25,그라가스,48.88
26,잔나,48.76
27,애니비아,48.64
28,브랜드,48.62
29,바드,48.41
30,뽀삐,48.15
31,피들스틱,48.02
32,갈리오,47.58
33,세라핀,47.20
34,세나,47.18
35,타릭,47.02
36,판테온,46.67
37,스웨인,46.24
38,벡스,46.02
39,자크,45.84
40,베이가,45.02
41,세트,44.64
42,르블랑,43.07
43,쉔,42.92
44,트런들,41.09
45,니코,38.81
46,미스 포츈,33.92
