,champion,op_score
0,그레이브즈,56.59
1,리 신,55.30
2,탈론,54.85
3,신 짜오,53.83
4,엘리스,53.80
5,니달리,53.43
6,샤코,53.29
7,렉사이,53.00
8,워윅,52.97
9,비에고,52.95
10,자크,51.77
11,누누와 윌럼프,51.76
12,뽀삐,51.64
13,킨드레드,51.16
14,케인,51.09
15,에코,51.08
16,탈리야,50.96
17,카직스,50.74
18,카서스,50.65
19,마스터 이,50.45
20,헤카림,50.40
21,트런들,50.23
22,람머스,50.02
23,피들스틱,49.75
24,바이,49.72
25,자르반 4세,49.48
26,그라가스,47.38
27,이블린,47.35
28,세주아니,46.95
29,녹턴,46.94
30,우디르,46.78
31,볼리베어,46.00
32,그웬,45.29
33,렝가,44.91
34,아이번,44.89
35,올라프,44.21
36,릴리아,43.86
37,제드,43.67
38,잭스,43.12
39,스카너,43.11
40,쉬바나,42.95
41,키아나,41.59
42,다이애나,41.50
43,럼블,41.38
44,아무무,41.05
