,champion,op_score
0,카밀,56.63
1,이렐리아,54.39
2,피오라,54.23
3,베인,54.16
4,제이스,53.82
5,트린다미어,53.72
6,탐 켄치,53.63
7,잭스,53.57
8,빅토르,52.82
9,티모,52.69
10,쉔,52.51
11,말파이트,52.43
12,뽀삐,52.37
13,다리우스,51.20
14,문도 박사,50.80
15,요네,50.77
16,그레이브즈,50.68
17,사이온,50.56
18,블라디미르,50.48
19,레넥톤,50.35
20,카시오페아,50.19
21,오른,50.16
22,세트,50.12
23,오공,49.87
24,가렌,49.74
25,나서스,49.72
26,신지드,49.50
27,케일,49.44
28,리븐,49.14
29,자크,49.07
30,하이머딩거,49.04
31,아칼리,48.97
32,우르곳,48.91
33,요릭,48.91
34,갱플랭크,48.88
35,아트록스,48.80
36,모데카이저,48.56
37,트런들,48.42
38,클레드,48.42
39,나르,48.11
40,초가스,48.01
41,마오카이,47.73
42,케넨,47.63
43,워윅,47.46
44,사일러스,47.44
45,퀸,47.36
46,야스오,47.17
47,렝가,46.74
48,럼블,46.45
49,그라가스,46.35
50,릴리아,44.80
51,일라오이,44.55
52,세주아니,44.35
53,그웬,44.16
54,라이즈,44.15
55,루시안,44.00
56,볼리베어,43.46
57,카르마,38.58
58,마스터 이,29.63
